"recordtype","id","type","dc.identifier","dc.language","dc.source","isVersionOf","hasVersion","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","accessRights","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","downloadLocation","packageFileName","packageName","versionInfo"
"CATALOG","omg_catalog:codelijst","dcat:Catalog",,,,,,,,,,,,,,,,,,,,"omg_dataset:codelijst-bgggkeuze",,,,,,,,,,,,,,,,,
"DATASET","omg_dataset:codelijst-bgggkeuze","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-bgggkeuze","nl",,,,"Dataset codelijst bgggkeuze","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-bgggkeuze",,"language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst bgggkeuze","omg_conceptscheme:bgggkeuze","Codelijst bgggkeuze",,"omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-bgggkeuze.html","frequency:IRREG","omg_periodoftime:dataset_omg",,"datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.0-DATASET","omg_dataset:codelijst-bgggkeuze.0.1.0","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-bgggkeuze.0.1.0","nl",,"omg_dataset:codelijst-bgggkeuze",,"Dataset codelijst bgggkeuze","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-bgggkeuze.0.1.0","2024-01-03","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst bgggkeuze","omg_conceptscheme:bgggkeuze","Codelijst bgggkeuze (0.1.0)","0.1.0","omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-bgggkeuze.0.1.0.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-bgggkeuze.0.1.0.bgggkeuze_csv|omg_distribution:codelijst-bgggkeuze.0.1.0.bgggkeuze_jsonld|omg_distribution:codelijst-bgggkeuze.0.1.0.bgggkeuze_rdf|omg_distribution:codelijst-bgggkeuze.0.1.0.bgggkeuze_ttl|omg_distribution:codelijst-bgggkeuze.0.1.0.bgggkeuze_xsd|omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-bgggkeuze.0.1.0","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-bgggkeuze.0.1.0.bgggkeuze_csv","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-bgggkeuze.0.1.0.bgggkeuze_csv",,,,,,"Codelijst bgggkeuze, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-bgggkeuze.0.1.0.bgggkeuze_csv","2024-01-03",,,,"ovo:OVO003751",,"Codelijst bgggkeuze in text/csv formaat.",,"Codelijst bgggkeuze, in text/csv formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-bgggkeuze.0.1.0.bgggkeuze_csv.html",,,,,"file_type:CSV","https://github.com/bodemenondergrond/codelijst-bgggkeuze.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-bgggkeuze.0.1.0.bgggkeuze.csv","https://www.iana.org/assignments/media-types/text/csv",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-bgggkeuze.0.1.0.bgggkeuze_jsonld","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-bgggkeuze.0.1.0.bgggkeuze_jsonld",,,,,,"Codelijst bgggkeuze, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-bgggkeuze.0.1.0.bgggkeuze_jsonld","2024-01-03",,,,"ovo:OVO003751",,"Codelijst bgggkeuze in jsonld rdf-formaat.",,"Codelijst bgggkeuze, in jsonld rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-bgggkeuze.0.1.0.bgggkeuze_jsonld.html",,,,,"file_type:JSON_LD","https://github.com/bodemenondergrond/codelijst-bgggkeuze.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-bgggkeuze.0.1.0.bgggkeuze.jsonld","https://www.iana.org/assignments/media-types/application/ld+json",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-bgggkeuze.0.1.0.bgggkeuze_rdf","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-bgggkeuze.0.1.0.bgggkeuze_rdf",,,,,,"Codelijst bgggkeuze, geserialiseerd in rdf/xml bestand.","omg_distribution:codelijst-bgggkeuze.0.1.0.bgggkeuze_rdf","2024-01-03",,,,"ovo:OVO003751",,"Codelijst bgggkeuze in xml rdf-formaat.",,"Codelijst bgggkeuze, in xml rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-bgggkeuze.0.1.0.bgggkeuze_rdf.html",,,,,"file_type:RDF_XML","https://github.com/bodemenondergrond/codelijst-bgggkeuze.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-bgggkeuze.0.1.0.bgggkeuze.rdf","https://www.iana.org/assignments/media-types/application/rdf+xml",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-bgggkeuze.0.1.0.bgggkeuze_ttl","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-bgggkeuze.0.1.0.bgggkeuze_ttl",,,,,,"Codelijst bgggkeuze, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-bgggkeuze.0.1.0.bgggkeuze_ttl","2024-01-03",,,,"ovo:OVO003751",,"Codelijst bgggkeuze in Turtle rdf-formaat.",,"Codelijst bgggkeuze, in Turtle rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-bgggkeuze.0.1.0.bgggkeuze_ttl.html",,,,,"file_type:RDF_TURTLE","https://github.com/bodemenondergrond/codelijst-bgggkeuze.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-bgggkeuze.0.1.0.bgggkeuze.ttl","https://www.iana.org/assignments/media-types/text/turtle",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-bgggkeuze.0.1.0.bgggkeuze_xsd","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-bgggkeuze.0.1.0.bgggkeuze_xsd",,,,,,"Codelijst bgggkeuze, geserialiseerd in een xsd bestand met een enumeratie.","omg_distribution:codelijst-bgggkeuze.0.1.0.bgggkeuze_xsd","2024-01-03",,,,"ovo:OVO003751",,"Codelijst bgggkeuze in xml/xsd formaat.",,"Codelijst bgggkeuze, in xml xsd-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-bgggkeuze.0.1.0.bgggkeuze_xsd.html",,,,,"file_type:XSD","https://github.com/bodemenondergrond/codelijst-bgggkeuze.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-bgggkeuze.0.1.0.bgggkeuze.xsd","https://www.iana.org/assignments/media-types/application/xml",,,,
"V0.1.0-PACKAGE","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-bgggkeuze.0.1.0","dcat:Distribution|spdx:Package","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-bgggkeuze.0.1.0",,,,,,"Codelijst bgggkeuze, Jar maven package.","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-bgggkeuze.0.1.0","2024-01-03",,,,"ovo:OVO003751",,"Codelijst bgggkeuze in jar-formaat.",,"Package codelijst-bgggkeuze",,,,"access_right:PUBLIC",,,,,,,,"file_type:JAR",,,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-bgggkeuze/0.1.0/codelijst-bgggkeuze-0.1.0.jar",,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-bgggkeuze/0.1.0/codelijst-bgggkeuze-0.1.0.jar","codelijst-bgggkeuze-0.1.0.jar","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-bgggkeuze","0.1.0"
"V0.1.1-DATASET","omg_dataset:codelijst-bgggkeuze.0.1.1","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-bgggkeuze.0.1.1","nl",,"omg_dataset:codelijst-bgggkeuze",,"Dataset codelijst bgggkeuze","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-bgggkeuze.0.1.1","2023-09-21","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst bgggkeuze","omg_conceptscheme:bgggkeuze","Codelijst bgggkeuze (0.1.1)","0.1.1","omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-bgggkeuze.0.1.1.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-bgggkeuze.0.1.1.bgggkeuze_csv|omg_distribution:codelijst-bgggkeuze.0.1.1.bgggkeuze_jsonld|omg_distribution:codelijst-bgggkeuze.0.1.1.bgggkeuze_rdf|omg_distribution:codelijst-bgggkeuze.0.1.1.bgggkeuze_ttl|omg_distribution:codelijst-bgggkeuze.0.1.1.bgggkeuze_xsd|omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-bgggkeuze.0.1.1","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
